student_id,math_score,science_score,english_score,cs_score,prog_skill,web_dev_skill,db_skill,networking_skill,ml_skill,mobile_skill,cloud_skill,data_analysis_skill,communication,teamwork,leadership,adaptability,problem_solving,interest_tech,interest_mgmt,interest_science,interest_design,interest_health,interest_finance,interest_edu,personality_score,career_label
1,82.5,68.3,72.8,100.0,3,2,3,2,1,1,1,2,3,1,1,3,3,1,0,0,0,0,0,0,0.5971370998892911,Software Developer
2,76.8,63.8,57.8,95.6,3,2,1,1,1,1,1,2,2,4,5,4,4,1,1,1,1,0,0,0,0.6822641558422916,Software Developer
3,68.1,82.7,69.1,73.9,3,2,2,1,2,2,0,2,3,4,2,3,3,1,0,0,0,0,0,0,0.37056900638789947,Software Developer
4,97.4,74.1,100.0,80.6,3,2,1,2,2,1,1,1,2,4,2,3,4,1,0,1,0,0,0,0,0.7237279979398041,Software Developer
5,64.5,66.1,60.3,76.3,3,2,2,1,0,1,1,1,3,3,4,3,4,0,0,0,0,0,1,0,0.5388331126350749,Software Developer
6,65.1,70.0,70.7,85.9,3,2,2,1,2,0,0,3,2,4,3,4,4,1,0,1,1,0,0,1,0.5615342422876858,Software Developer
7,51.7,70.8,52.3,91.8,3,3,1,1,2,0,1,3,2,3,2,4,3,1,0,0,0,0,1,0,0.3519315080373586,Software Developer
8,78.4,80.2,67.1,78.3,3,3,3,0,0,0,2,3,3,4,1,3,3,1,0,0,0,0,0,0,0.43423288757601125,Software Developer
9,71.0,100.0,72.5,81.1,3,2,2,1,1,1,0,1,3,4,2,2,4,1,1,0,0,0,0,0,0.6077976069593256,Software Developer
10,88.1,82.8,53.5,99.1,3,2,2,1,1,2,2,2,4,4,2,3,3,1,0,1,0,0,0,0,0.32488474101892395,Software Developer
11,67.9,83.1,65.8,79.4,3,2,1,1,1,0,3,2,1,3,1,4,4,1,0,0,0,0,0,0,0.5327895337799652,Software Developer
12,79.8,50.7,76.3,98.1,3,3,1,2,0,0,1,3,3,2,1,3,3,1,0,1,0,0,0,0,0.3549710737609841,Software Developer
13,60.3,75.5,67.4,83.2,3,2,2,1,2,0,2,1,3,3,2,3,4,1,1,0,0,0,0,0,0.4760498598011751,Software Developer
14,80.4,77.0,57.4,95.0,3,2,1,0,1,2,2,2,3,3,2,4,4,1,0,1,0,0,0,0,0.6923714481671498,Software Developer
15,76.5,77.1,55.2,100.0,3,1,3,2,1,2,1,1,3,2,3,3,4,1,0,0,1,0,0,1,0.5017921237520511,Software Developer
16,83.4,80.5,78.9,84.2,3,3,1,2,1,1,1,2,4,4,2,3,3,1,0,0,1,0,1,0,0.4233794629723391,Software Developer
17,78.4,70.2,66.2,81.8,3,2,3,2,3,0,2,2,5,2,1,3,3,1,1,0,0,0,0,0,0.47113674674788586,Software Developer
18,83.6,81.6,73.9,99.8,3,2,2,1,1,0,1,2,3,3,1,2,4,1,0,0,0,0,0,0,0.541677256255349,Software Developer
19,68.2,77.5,52.2,86.9,3,2,2,0,0,2,1,1,4,3,3,3,5,1,0,1,1,0,0,0,0.8133011263664807,Software Developer
20,68.5,65.9,44.2,99.6,3,2,2,0,1,2,2,2,3,4,2,2,4,1,0,0,1,0,0,0,0.6104678990628366,Software Developer
21,80.5,58.7,58.8,79.5,3,3,1,1,1,0,1,1,3,2,4,3,4,1,0,1,0,0,0,0,0.5820969866101333,Software Developer
22,66.8,55.3,93.5,85.5,3,0,3,0,1,2,0,2,4,1,1,2,4,1,0,0,1,0,0,0,0.5428313683939694,Software Developer
23,74.9,87.8,65.9,81.1,3,2,1,1,0,0,2,3,2,3,1,3,4,1,0,1,0,0,0,0,0.42040138454802767,Software Developer
24,80.9,69.0,67.8,90.2,3,2,2,1,2,2,2,1,3,2,2,1,4,1,0,0,1,0,0,1,0.5039925401017274,Software Developer
25,62.1,65.4,77.1,83.4,3,1,2,2,0,0,1,2,3,3,2,3,5,1,0,0,1,0,0,0,0.588163126495182,Software Developer
26,41.9,74.3,61.8,95.6,3,3,2,0,2,0,0,2,3,4,3,3,4,1,0,0,1,0,0,0,0.5930411891836448,Software Developer
27,77.7,73.0,59.5,81.2,3,1,2,1,1,1,2,2,3,2,2,3,4,1,0,0,0,0,0,0,0.4116752013733562,Software Developer
28,77.6,80.0,54.3,69.4,3,3,2,1,2,1,1,2,3,2,1,4,4,1,0,1,0,0,0,0,0.5650143163869548,Software Developer
29,75.8,83.1,44.7,100.0,3,2,1,0,2,1,0,1,3,4,2,2,4,1,0,0,0,0,0,1,0.5090914645378495,Software Developer
30,59.7,76.2,55.4,86.7,3,2,2,1,0,2,1,2,5,2,3,1,3,1,0,1,0,0,0,0,0.36390398834686444,Software Developer
31,58.3,91.0,76.2,98.2,3,1,2,1,0,2,1,2,4,3,2,4,3,1,0,1,1,0,1,0,0.6423903410416396,Software Developer
32,50.0,91.2,50.1,81.5,3,1,3,0,2,0,0,2,4,3,2,4,5,1,0,0,0,0,0,0,0.6508385926620659,Software Developer
33,77.9,58.3,69.9,74.4,3,2,2,2,2,2,0,1,3,3,2,2,4,1,0,0,0,0,0,0,0.43669256014700164,Software Developer
34,100.0,66.3,66.1,89.4,3,1,2,1,0,2,1,2,3,3,4,3,3,1,0,0,0,0,0,1,0.48994279597250234,Software Developer
35,73.9,77.4,67.1,77.3,3,2,2,2,2,1,1,1,3,3,2,2,3,1,0,0,0,0,0,0,0.7079729279999356,Software Developer
36,53.9,76.0,52.5,98.2,3,2,2,0,1,2,2,2,2,3,3,3,5,1,0,0,0,0,0,0,0.4474852314804816,Software Developer
37,98.7,63.7,60.0,85.7,2,1,1,0,1,1,2,1,4,3,2,3,3,0,0,0,0,0,0,0,0.6073614619276076,Software Developer
38,67.2,62.8,71.7,83.0,3,2,2,0,2,2,1,2,2,2,4,4,4,1,0,1,0,0,0,0,0.5747046741155711,Software Developer
39,84.9,94.1,62.9,81.6,2,1,2,2,1,1,1,3,5,3,2,4,4,1,0,0,0,0,0,0,0.8270060988604051,Software Developer
40,82.5,80.3,77.1,100.0,3,2,2,0,1,1,1,2,3,3,3,2,4,1,0,0,0,0,0,0,0.5634934222190185,Software Developer
41,73.6,73.3,72.3,89.5,3,2,3,0,1,0,2,1,3,3,3,3,4,1,0,0,0,0,0,0,0.8321735604160885,Software Developer
42,91.8,85.7,62.3,78.8,3,2,1,2,2,1,1,2,3,3,3,3,4,1,0,0,0,0,0,0,0.5456612673737695,Software Developer
43,77.9,78.5,63.9,99.5,3,3,2,0,1,0,2,2,3,1,2,1,3,1,0,0,1,0,0,0,0.6640621984216446,Software Developer
44,100.0,69.7,71.3,100.0,3,2,2,1,1,0,1,1,4,3,2,3,4,1,1,0,1,0,0,0,0.4302182026590727,Software Developer
45,88.4,77.6,77.6,83.7,3,2,3,1,2,1,1,2,3,3,2,3,4,1,0,0,0,0,0,0,0.8713405537917795,Software Developer
46,67.5,72.5,78.1,87.1,3,3,1,0,0,3,1,3,2,3,3,3,4,1,0,1,0,0,0,0,0.3619287649310115,Software Developer
